Timestamp,1. Which university do you study at?,2. What is your academic level?,3. What is your faculty? ,4. How familiar are you with Artificial Intelligence (AI) tools used in education? ,5. Which AI-powered tools have you used for academic purposes? ,6. How often do you use AI tools for educational purposes? ,7. For which academic activities do you use AI tools? (Select all that apply),8. Do you think AI tools improve your learning experiences? ,9. How do AI tools impact your academic performances? ,10. Do you believe AI tools help in understanding complex academic concepts? ,11. Do you think AI makes students overly dependent on technology? ,12. How do your teacher or instructors perceive AI-assisted learning? ,13. What challenges have you faced while using AI tools in education?  (Select all that apply) ,14. Do you trust the information provided by AI tools?,15. Do you feel AI-generated content lacks originality and creativity? ,16. Have you ever been discouraged from using AI tools due to ethical concerns? ,17. Do you believe AI should be integrated into the university curriculum? ,18. What improvements would you like to see in AI tools for education? (Select all that apply),"19. What support system (e.g., workshops,funding, infrastructure) are needed for effective AI adoption in your institution?",20. What is your overall opinion on the impact of AI tools in higher education? 
2/16/2025 14:21:22,PUST,Undergraduate (1st Year),Business Studies,Extremely familiar,Chatgpt,Daily,Studying and exam preparation,Agree,Somewhat positive,Agree,Strongly agree,Neutral,Limited access,Most of the time,Neutral,Yes,"Yes, as a core subject",Better understanding of context and intent,,
2/16/2025 14:21:36,PUST,Undergraduate (1st Year),Business Studies,Somewhat familiar,Chatgpt,Frequently (a few times a week),Research assistance,Neutral,Neutral,Agree,Strongly agree,Discouraging and restrictive,"Limited access, Lack of knowledge about AI tools",Sometimes,Neutral,Yes,"No, it should not be part of the curriculum",Better understanding of context and intent,,
2/16/2025 18:54:20,PUST,Undergraduate (1st Year),Business Studies,Very familiar,Chatgpt,Frequently (a few times a week),"Writing and grammar correction, Studying and exam preparation, Creating presentations and reports",Agree,Somewhat positive,Strongly agree,Strongly agree,Not sure,Lack of knowledge about AI tools,Most of the time,Agree,Yes,"Yes, as a core subject","More accuracy in responses, Better understanding of context and intent",,
2/16/2025 23:06:38,PUST,Undergraduate (1st Year),Business Studies,Somewhat familiar,"Chatgpt, Gemini",Frequently (a few times a week),"Writing and grammar correction, Studying and exam preparation",Strongly agree,Somewhat positive,Agree,Strongly agree,Encouraging and supportive,Lack of knowledge about AI tools,Always,Strongly agree,No,"Yes, as an elective course","More accuracy in responses, Better understanding of context and intent, Stronger plagiarism detection, Improved ethical guidelines for usage","workshop, funding, infrastructure, computer lab",It is very helpful
2/26/2025 22:32:33,PUST,Undergraduate (1st Year),Life and earth science ,Extremely familiar,"Chatgpt, Gemini",Frequently (a few times a week),"Writing and grammar correction, Studying and exam preparation, Creating presentations and reports",Agree,Somewhat positive,Agree,Agree,Neutral,"Limited access, Ethical concern (e.g., plagiarism, dependency)",Most of the time,Agree,No,"Yes, as a core subject",Better understanding of context and intent,"Instructure, workshops",Very good for my student life.
2/26/2025 22:35:24,PUST,Undergraduate (1st Year),Life and Earth Science ,Very familiar,"Chatgpt, Gemini",Daily,"Research assistance, Writing and grammar correction, Studying and exam preparation, Creating presentations and reports",Agree,Highly positive,Agree,Disagree,Neutral,"Limited access, Lack of knowledge about AI tools",Always,Neutral,Yes,"Yes, as a core subject","More accuracy in responses, Better understanding of context and intent, Stronger plagiarism detection, Improved ethical guidelines for usage",Workshops,AI is very useful for me because we don’t get proper time for complete our overall course in detail. So i use AI for save the time & get more helpful information 
2/26/2025 22:51:49,PUST,Undergraduate (1st Year),Science,Very familiar,"Chatgpt, Gemini, Deep seek,copilot ",Frequently (a few times a week),"Writing and grammar correction, Studying and exam preparation, Creating presentations and reports",Agree,Somewhat positive,Agree,Agree,Neutral,Limited access,Most of the time,Neutral,Yes,"Yes, as an elective course","More accuracy in responses, Better understanding of context and intent, Reducing limitations ",,So good.without AI I couldn’t pass in the xm!
2/26/2025 22:51:56,PUST,Undergraduate (1st Year),Life and Earth Science,Very familiar,Chatgpt,Daily,Studying and exam preparation,Agree,Somewhat positive,Agree,Neutral,Neutral,Lack of knowledge about AI tools,Most of the time,Neutral,Yes,Not sure,More accuracy in responses,,
2/26/2025 23:11:39,PUST,Undergraduate (1st Year),Humanities and Social Science,Somewhat familiar,Gemini,Daily,,Agree,Somewhat positive,Agree,Agree,Not sure,Limited access,Most of the time,Neutral,Yes,Not sure,Better understanding of context and intent,,
2/26/2025 23:22:22,PUST,Undergraduate (1st Year),Humanities and Social Science,Somewhat familiar,"Chatgpt, Gemini, Gammerly, Quillbot",Frequently (a few times a week),"Research assistance, Writing and grammar correction, Studying and exam preparation",Agree,Neutral,Neutral,Agree,Neutral,"Ethical concern (e.g., plagiarism, dependency), Inaccurate or misleading information",Sometimes,Strongly agree,Yes,"Yes, as an elective course","More accuracy in responses, Better understanding of context and intent, Stronger plagiarism detection",Workshops funding infrastructures ,It's an useful tool but we should use it at a limit 
2/26/2025 23:51:22,PUST,Undergraduate (1st Year),Humanities and Social Science,Slightly familiar,Chatgpt,Frequently (a few times a week),Studying and exam preparation,Neutral,Somewhat positive,Agree,Agree,Discouraging and restrictive,Lack of knowledge about AI tools,Most of the time,Disagree,No,"Yes, as an elective course",More accuracy in responses,Computer ,Good 
2/26/2025 23:55:25,PUST,Undergraduate (1st Year),Science,Slightly familiar,"Chatgpt, Gemini",Daily,"Writing and grammar correction, Studying and exam preparation, Creating presentations and reports",Neutral,Neutral,Neutral,Agree,Encouraging and supportive,"Limited access, Inaccurate or misleading information",Sometimes,Neutral,Yes,"Yes, as an elective course","Better understanding of context and intent, Stronger plagiarism detection",Not available ,Beter
